State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
PR,Cianorte-PR,Curitiba-PR,Campo Largo-PR,Londrina-PR,Pinhais-PR,Foz do Iguaçu-PR,Maringá-PR,Guaíra-PR,Pato Branco-PR,Ponta Grossa-PR,Umuarama-PR,Colombo-PR,Cascavel-PR,Paranavaí-PR,Telêmaco Borba-PR,Campo Mourão-PR,Faxinal-PR,Guarapuava-PR,Iretama-PR,Rio Negro-PR,União da Vitória-PR,Mariópolis-PR,Quatiguá-PR,Castro-PR,Contenda-PR,Marechal Cândido Rondon-PR,Medianeira-PR,Peabiru-PR,São José dos Pinhais-PR,Terra Rica-PR,Almirante Tamandaré-PR,Matinhos-PR,Rio Branco do Sul-PR,Francisco Beltrão-PR,Lapa-PR,Quatro Barras-PR,Verê-PR,Arapongas-PR,Araucária-PR,Assis Chateaubriand-PR,Cambé-PR,Fazenda Rio Grande-PR,Goioerê-PR,Ibaiti-PR,Cornélio Procópio-PR,Leópolis-PR,Mandirituba-PR,Palmeira-PR,Paranaguá-PR,São Manoel do Paraná-PR,Terra Boa-PR,Araruna-PR,Campina Grande do Sul-PR,Campo Magro-PR,Piraquara-PR,Sarandi-PR,Chopinzinho-PR,Guaraniaçu-PR,Ibema-PR,Palmas-PR,Pinhão-PR,Rolândia-PR,Balsa Nova-PR,Santa Fé-PR,Sertaneja-PR,Bandeirantes-PR,Primeiro de Maio-PR,Quitandinha-PR,Vitorino-PR,Ivaiporã-PR,São João do Ivaí-PR,Toledo-PR,Campina da Lagoa-PR,Manoel Ribas-PR,Marumbi-PR,Paiçandu-PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN,Natal-RN,Parnamirim-RN,Mossoró-RN,Açu-RN,Caicó-RN,Macaíba-RN,Monte Alegre-RN,Passa e Fica-RN,São Gonçalo do Amarante-RN,São José de Mipibu-RN,Tibau-RN,Apodi-RN,Carnaubais-RN,Luís Gomes-RN,Ceará-Mirim-RN,Baía Formosa-RN,Caraúbas-RN,Extremoz-RN,Santo Antônio-RN,Areia Branca-RN,São Pedro-RN,Taipu-RN,Tenente Ananias-RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Florianópolis-SC,Joinville-SC,Rancho Queimado-SC,Braço do Norte-SC,Balneário Camboriú-SC,Tubarão-SC,São José-SC,Chapecó-SC,Criciúma-SC,Imbituba-SC,Jaraguá do Sul-SC,Navegantes-SC,Pomerode-SC,Gravatal-SC,Itajaí-SC,Jaguaruna-SC,Blumenau-SC,Lages-SC,Gaspar-SC,Içara-SC,Porto Belo-SC,Laguna-SC,Tijucas-SC,Balneário Arroio do Silva-SC,Camboriú-SC,Canelinha-SC,São Ludgero-SC,São Pedro de Alcântara-SC,Itapema-SC,Siderópolis-SC,Timbé do Sul-SC,Antônio Carlos-SC,São Lourenço do Oeste-SC,Brusque-SC,Papanduva-SC,São Francisco do Sul-SC,Urussanga-SC,Indaial-SC,Pescaria Brava-SC,Biguaçu-SC,Joaçaba-SC,Paulo Lopes-SC,Araranguá-SC,Governador Celso Ramos-SC,Irati-SC,Mafra-SC,Morro da Fumaça-SC,Palhoça-SC,Balneário Gaivota-SC,Itapiranga-SC,Pedras Grandes-SC,Sombrio-SC,São Domingos-SC,Botuverá-SC,Santo Amaro da Imperatriz-SC,Timbó-SC,Videira-SC,Águas Mornas-SC,Anita Garibaldi-SC,Sangão-SC,Santa Rosa de Lima-SC,Forquilhinha-SC,Guabiruba-SC,São Bento do Sul-SC,Tangará-SC,Aurora-SC,Balneário Piçarras-SC,Barra Velha-SC,Caçador-SC,Cocal do Sul-SC,Garopaba-SC,Guaramirim-SC,Massaranduba-SC,Orleans-SC,Rio Negrinho-SC,Rio Rufino-SC,Schroeder-SC,Vidal Ramos-SC,Nova Trento-SC,Santa Cecília-SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,Manaus-AM,Parintins-AM,Boca do Acre-AM,Santo Antônio do Içá-AM,Manacapuru-AM,Anori-AM,Itacoatiara-AM,Novo Airão-AM,Careiro da Várzea-AM,Tonantins-AM,Iranduba-AM,Jutaí-AM,São Gabriel da Cachoeira-AM,São Paulo de Olivença-AM,Manicoré-AM,Presidente Figueiredo-AM,Tabatinga-AM,Maués-AM,Tefé-AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Campo Grande-MS,Sidrolândia-MS,Ponta Porã-MS,Batayporã-MS,Rio Verde de Mato Grosso-MS,Dourados-MS,Alcinópolis-MS,Nova Andradina-MS,Três Lagoas-MS,Chapadão do Sul-MS,Corumbá-MS,Sonora-MS,Paranaíba-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE,Aracaju-SE,Propriá-SE,Nossa Senhora da Glória-SE,Capela-SE,Itabaiana-SE,Simão Dias-SE,Pacatuba-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,Aquiraz-CE,Fortaleza-CE,Sobral-CE,Fortim-CE,Juazeiro do Norte-CE,Mauriti-CE,Maranguape-CE,Caucaia-CE,Quixadá-CE,Itaitinga-CE,Maracanaú-CE,Beberibe-CE,Santa Quitéria-CE,Eusébio-CE,Tianguá-CE,Icó-CE,Itapajé-CE,Itapipoca-CE,Jaguaribe-CE,Canindé-CE,Farias Brito-CE,Ipaporanga-CE,Horizonte-CE,Aracati-CE,Cariús-CE,Iguatu-CE,Ipueiras-CE,Limoeiro do Norte-CE,Novo Oriente-CE,Pacatuba-CE,Pedra Branca-CE,Pindoretama-CE,Quixeramobim-CE,Amontada-CE,Catarina-CE,Crateús-CE,Croatá-CE,Guaraciaba do Norte-CE,Lavras da Mangabeira-CE,Santana do Acaraú-CE,Senador Pompeu-CE,Cascavel-CE,Icapuí-CE,Itaiçaba-CE,Mombaça-CE,Várzea Alegre-CE,Crato-CE,Independência-CE,Quixeré-CE,Russas-CE,Senador Sá-CE,São Luís do Curu-CE,Tabuleiro do Norte-CE,Barroquinha-CE,Forquilha-CE,Itarema-CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,Rio Branco-AC,Acrelândia-AC,Porto Acre-AC,Plácido de Castro-AC,Bujari-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,Belém-PA,Marabá-PA,Ananindeua-PA,Castanhal-PA,Itaituba-PA,Parauapebas-PA,Abaetetuba-PA,Marituba-PA,Tucuruí-PA,Barcarena-PA,Santarém-PA,Altamira-PA,Benevides-PA,Goianésia do Pará-PA,Novo Progresso-PA,Oeiras do Pará-PA,São Geraldo do Araguaia-PA,Cametá-PA,Santo Antônio do Tauá-PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,João Pessoa-PB,Igaracy-PB,Campina Grande-PB,Sousa-PB,Patos-PB,Cabedelo-PB,Junco do Seridó-PB,Serra Branca-PB,Santa Rita-PB,Bayeux-PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO,Palmas-TO,Araguaína-TO,Dianópolis-TO,Gurupi-TO,Cariri do Tocantins-TO,Paraíso do Tocantins-TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI,Teresina-PI,São José do Divino-PI,Parnaíba-PI,Campo Maior-PI,Piracuruca-PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,Macapá-AP,Oiapoque-AP,Santana-AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,São Luís-MA,Açailândia-MA,Imperatriz-MA,Paço do Lumiar-MA,São José de Ribamar-MA,Timon-MA,Cajapió-MA,Santa Inês-MA,São Benedito do Rio Preto-MA,Colinas-MA,Icatu-MA,Raposa-MA,Urbano Santos-MA,Cachoeira Grande-MA,Cantanhede-MA,Chapadinha-MA,Viana-MA,Vitória do Mearim-MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Cuiabá-MT,Várzea Grande-MT,Nova Monte Verde-MT,Rondonópolis-MT,Tangará da Serra-MT,Lucas do Rio Verde-MT,Sinop-MT,Alta Floresta-MT,Campo Novo do Parecis-MT,Nova Mutum-MT,Aripuanã-MT,Canarana-MT,Cáceres-MT,São José dos Quatro Marcos-MT,União do Sul-MT,Chapada dos Guimarães-MT,Primavera do Leste-MT,Lambari D'Oeste-MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,Ji-Paraná-RO,Porto Velho-RO,Jaru-RO,Rolim de Moura-RO,Vilhena-RO,Ouro Preto do Oeste-RO,Ariquemes-RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,Boa Vista-RR,Bonfim-RR,Cantá-RR,Alto Alegre-RR,Pacaraima-RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
