Position,City,Population,Area,Density
159,Cerro Grande do Sul,10268,324.79,31.61
160,Arvorezinha,10225,271643,37.64
161,Redentora,10222,302681,33.77
162,Ronda Alta,10221,419346,24.37
163,Três Cachoeiras,10217,251059,40.7
164,Sinimbu,10068,510122,19.74
165,Pântano Grande,9895,841229,11.76
166,Terra de Areia,9878,141773,69.67
167,Constantina,9752,203,48.04
168,Chapada,9377,684043,13.71
169,Catuípe,9323,583.26,15.98
170,Entre-Ijuís,8938,552603,16.17
171,Nova Bassano,8840,211612,41.77
172,Santa Bárbara do Sul,8829,975.51,9.05
173,Candiota,8771,933839,9.39
174,Casca,8651,271747,31.83
175,Tuparendi,8557,307677,27.81
176,General Câmara,8447,510012,16.56
177,São Vicente do Sul,8440,1175233,7.18
178,Joia,8331,1235888,6.74
179,Santana da Boa Vista,8242,1420622,5.8
180,Guarani das Missões,8115,290497,27.93
181,Iraí,8078,182184,44.34
182,Paverama,8044,171864,46.8
183,Alpestre,8027,328751,24.42
184,Erval Seco,7878,363894,21.65
185,Pedro Osório,7811,608792,12.83
186,Coronel Bicaco,7748,492126,15.74
187,Arroio do Sal,7740,120912,64.01
188,Lavras do Sul,7679,2600611,2.95
189,Boqueirão do Leão,7673,265428,28.91
190,Minas do Leão,7631,424341,17.98
191,São Miguel das Missões,7421,1229848,6.03
192,Paraiso do Sul,7336,337843,21.71
193,Ametista do Sul,7323,93.49,78.33
194,Caraá,7312,294324,24.84
195,Cristal,7280,681628,10.68
196,Ajuricaba,7255,323.24,22.44
197,Roque Gonzalez,7203,346623,20.78
198,Ibiraiaras,7171,300651,23.85
199,Segredo,7158,247.44,28.93
200,Augusto Pestana,7096,347.44,20.42
201,Manoel Viana,7072,1390702,5.09
202,Alecrim,7045,314744,22.38
203,Barão do Triunfo,7018,436397,16.08
204,Formigueiro,7014,581992,12.05
205,Palmitinho,6920,144046,48.04
206,Maquiné,6905,621696,11.11
207,São José do Ouro,6904,334775,20.62
208,Glorinha,6891,323642,21.29
209,Bossoroca,6884,1610.58,4.27
210,Paraí,6812,120419,56.57
211,Herval,6753,1757846,3.84
212,Salvador do Sul,6747,99825,67.59
213,Faxinal do Soturno,6672,169903,39.27
214,Independência,6618,357.44,18.51
215,Boa Vista do Buricá,6574,108733,60.46
216,Aratiba,6565,341324,19.23
217,Condor,6552,465189,14.08
218,Cambará do Sul,6542,1212541,5.4
219,Cândido Godoi,6535,246277,26.54
220,Barão de Cotegipe,6529,260131,25.1
221,Tiradentes do Sul,6461,234483,27.55
222,Cerrito,6402,451701,14.17
223,São Paulo das Missões,6364,223887,28.43
224,Amaral Ferrador,6353,506459,12.54
225,Nova Palma,6342,313508,20.23
226,Sertão,6294,439473,14.32
227,Morro Redondo,6227,244646,25.45
228,Lagoão,6185,383603,16.12
229,Progresso,6163,255862,24.09
230,Campina das Missões,6117,225763,27.09
231,Anta Gorda,6073,242965,25
232,Santa Maria do Herval,6053,139599,43.36
233,Hulha Negra,6043,822903,7.34
234,Ipê,6016,599249,10.04
235,Estação,6011,100266,59.95
236,Passo do Sobrado,6011,265109,22.67
237,Chuí,5917,202553,29.21
238,Tucunduva,5898,180.81,32.62
239,Gaurama,5862,204262,28.7
240,Sertão Santana,5850,251847,23.23
241,Trindade do Sul,5787,268418,21.56
242,Liberato Salzano,5780,245628,23.53
243,São Martinho,5773,171662,33.63
244,Rodeio Bonito,5743,83199,69.03
245,Barão,5741,124489,46.12
246,São Nicolau,5727,485326,11.8
247,Santa Clara do Sul,5697,86644,65.75
248,Morro Reuter,5676,87641,64.76
249,Rondinha,5518,252209,21.88
250,Machadinho,5510,334446,16.48
251,Campinas do Sul,5506,276163,19.94
252,Campo Novo,5459,222074,24.58
253,Porto Lucena,5413,250079,21.65
254,Barracão,5357,516291,10.38
255,Tavares,5351,604253,8.86
256,Doutor Maurício Cardoso,5313,252.69,21.03
257,Viadutos,5311,268.36,19.79
258,Vicente Dutra,5285,195045,27.1
259,Lindolfo Collor,5227,32991,158.44
260,Sentinela do Sul,5198,281965,18.43
261,Picada Café,5182,85146,60.86
262,Erval Grande,5163,285915,18.06
263,Passa Sete,5154,304.54,16.92
264,Marcelino Ramos,5134,229619,22.36
265,Vale Real,5118,45085,113.52
266,Mata,5111,311884,16.39
267,Caiçara,5071,189238,26.8
268,Itaara,5010,172.99,28.96
