Position,City,Population,Area,Density
156,Espírito Santo do Pinhal,44330,389.235,107.61
157,Presidente Epitácio,44200,1260.281,32.79
158,Orlândia,44028,291.765,136.34
159,Itápolis,43120,996.747,40.18
160,Vargem Grande do Sul,42845,267.178,146.94
161,Tietê,42076,404.396,91.09
162,Ituverava,41824,704.659,54.87
163,Novo Horizonte,41052,931.743,39.28
164,Socorro,41005,449.029,81.7
165,São Manuel,40954,650.734,58.92
166,Guaíra,40790,1258.465,29.72
167,Américo Brasiliense,40504,122.785,280.91
168,Promissão,40432,779.2,45.78
169,Guariba,40105,270.289,131.29
170,Pitangueiras,39719,430.638,81.99
171,Presidente Venceslau,39516,755.203,50.1
172,Agudos,37214,966.708,35.73
173,Iperó,37133,170.289,166.2
174,José Bonifácio,37015,860.2,38.1
175,Aguaí,36305,474.554,67.72
176,Aparecida,36157,121.076,289.13
177,Barra Bonita,36126,150.121,235.12
178,São Pedro,35653,611.278,51.98
179,Cravinhos,35292,311.423,101.77
180,Bariri,35264,444.405,71.14
181,Rio das Pedras,35228,226.657,130.16
182,Ibaté,35104,290.978,105.74
183,Adamantina,35068,411.987,82.15
184,Ilhabela,34970,346.389,81.13
185,Santa Cruz das Palmeiras,34361,295.337,101.35
186,Araçoiaba da Serra,34146,255.327,106.88
187,Descalvado,33718,753.706,41.2
188,Cachoeira Paulista,33327,287.99,104.49
189,Morro Agudo,32968,1388.127,20.97
190,Guararapes,32939,955.637,31.99
191,São Miguel Arcanjo,32931,930.339,33.8
192,Osvaldo Cruz,32879,248.038,124.47
193,Barrinha,32812,146.025,195.66
194,Biritiba Mirim,32598,317.406,90.03
195,Santa Fé do Sul,32322,206.537,141.81
196,Juquitiba,31444,522.169,55.03
197,Cândido Mota,31280,595.811,50.12
198,Iguape,30857,1978.795,14.58
199,Igarapava,30432,468.355,59.7
200,Casa Branca,30380,864.225,32.76
201,Jarinu,30044,207.549,114.85
202,Piraju,29806,504.591,56.44
203,Guararema,29798,270.816,95.43
204,Rancharia,29707,1587.498,18.14
205,Mirandópolis,29564,917.694,29.91
206,Serra Negra,29229,203.734,129.52
207,Pilar do Sul,29185,681.248,38.77
208,Cajati,28549,454.436,62.43
209,Laranjal Paulista,28516,384.274,65.75
210,Conchal,28050,182.793,138.02
211,Santa Rita do Passa Quatro,27557,754.141,35.11
212,Pirapozinho,27527,477.673,51.66
213,Dois Córregos,27315,632.972,39.12
214,Piracaia,27303,385.568,65.15
215,Itaí,27125,1092.884,22.17
216,Santa Gertrudes,26898,98.291,220.1
217,Ilha Solteira,26686,652.641,38.42
218,Santa Rosa de Viterbo,26540,288.576,82.69
219,Valparaíso,26480,857.661,26.33
220,Martinópolis,26461,1253.564,19.33
221,Cajuru,26167,660.088,35.41
222,Tanabi,25967,747.218,32.25
223,Pereira Barreto,25669,974.247,25.5
224,Pirajuí,25492,823.758,27.55
225,Bom Jesus dos Perdões,25448,108.366,181.87
226,Angatuba,25228,1027.288,21.61
227,Monte Aprazível,25087,495.559,43.76
228,Brodowski,24939,278.458,89.5610828203894
229,Álvares Machado,24915,347.647,71.6675248168401
230,Igaraçu do Tietê,24674,97.747,252.427184466019
231,Potim,24643,44.468,554.173787892417
232,Cordeirópolis,24528,137.579,178.283022845056
233,Brotas,24403,1101.374,22.1568695102663
234,Apiaí,24374,974.322,25.0163703580541
235,Iracemápolis,24235,115.118,210.523115412012
236,Santo Antônio de Posse,23310,154.133,151.23302602298
237,Taquarituba,23218,448.515,51.7663846248175
238,Tambaú,23207,561.788,41.3091771273149
239,Teodoro Sampaio,23148,1555.803,14.8784904001342
240,Araçariguama,22364,145.204,154.017795653012
241,Miguelópolis,22226,820.849,27.0768436094824
242,Palmital,22221,548.407,40.5191764510665
243,Pompeia,22014,784.674,28.0549629527676
244,Lucélia,21747,314.81,69.0797623963661
245,Cunha,21547,1407.25,15.3114229880974
246,Nova Granada,21500,531.796,40.4290366982828
247,Pradópolis,21496,167.378,128.427869851474
248,Guapiaçu,21454,325.126,65.9867251465586
249,Guará,21220,362.183,58.5891662502105
250,Castilho,21006,1065.318,19.7180560170766
251,Bastos,20953,170.912,122.595253697809
252,Santo Anastácio,20878,552.876,37.7625362649129
253,Engenheiro Coelho,20773,109.941,188.946798737505
254,Capela do Alto,20706,169.89,121.878862793572
255,Itatinga,20697,979.817,21.1233322140767
256,Junqueirópolis,20679,582.565,35.4964682052646
257,Regente Feijó,20261,263.28,76.9560923731389
258,Paranapanema,20197,1018.724,19.8257820567691
259,Cerqueira César,19985,511.621,39.0621182476873
260,Buri,19878,1195.91,16.6216521310132
261,Miracatu,19779,1001.484,19.7496914578765
262,Pariquera-Açu,19648,359.414,54.6667631199675
263,Monte Azul Paulista,19008,263.462,72.1470268957193
264,Caconde,18985,468.214,40.5476982747205
265,Viradouro,18898,217.726,86.7971670815612
266,Pirapora do Bom Jesus,18895,108.489,174.165122731337
267,Juquiá,18812,812.799,23.1447135146574
268,Águas de Lindoia,18705,60.126,311.096696936433
269,Alumínio,18628,83.66,222.663160411188
