,City,Population,Area,Density
125,São Benedito do Sul,15895,160.48,99.0484617733382
126,Saloá,15843,251.55,62.9817649841582
127,Frei Miguelinho,15457,212.71,72.6680363128623
128,Santa Cruz,15398,1245.98,12.3581140352637
129,Mirandiba,15390,821.68,18.7300103690506
130,Jurema,15378,148.25,103.727386782144
131,Triunfo,15254,191.52,79.6478659969298
132,Primavera,14966,113.11,132.311337435462
133,Orocó,14991,554.76,27.0225449249133
134,Jupi,14836,104.99,141.303312570242
135,Jatobá,14796,277.86,53.2494547653152
136,Xexéu,14725,110.82,132.879122862428
137,Alagoinha,14636,216.45,67.6177628296343
138,Santa Filomena,14477,1005.34,14.4000891239888
139,Barra de Guabiraba,14385,120.58,119.295423069587
140,Casinhas,14341,115.87,123.770152242207
141,Santa Maria do Cambucá,14137,92.15,153.416243434475
142,Tracunhaém,13769,135.50,101.619235992206
143,Itapetim,13616,404.85,33.6322094602939
144,Chã de Alegria,13518,48.55,278.44607398863
145,Buenos Aires,13155,93.19,141.167759451426
146,Lagoa do Ouro,13145,198.76,66.1343717612018
147,Carnaubeira da Penha,12932,1004.67,12.8719267180071
148,Tacaimbó,12874,227.60,56.563899104134
149,Betânia,12719,1244.07,10.2236683669942
150,Santa Cruz da Baixa Verde,12592,114.93,109.560435735913
151,Cortês,12578,101.32,124.14623554029
152,Iguaracy,12228,838.13,14.5895873203744
153,Ferreiros,12123,92.52,131.036793635695
154,Belém de Maria,12073,75.14,160.669133107982
155,Santa Terezinha,11815,200.32,58.9806309904153
156,Cedro,11807,148.75,79.376924421497
157,Jaqueira,11656,87.21,133.657462618108
158,Paranatama,11523,185.37,62.1618268229658
159,Maraial,11345,199.87,56.7633152377855
160,Jucati,11424,120.60,94.7232264269842
161,Poção,11302,204.33,55.3127554091685
162,Moreilândia,11270,404.29,27.8762364359972
163,Calçado,11053,121.95,90.6392226003526
164,Angelim,11150,118.04,94.4619060125215
165,Salgadinho,10919,87.22,125.193482921907
166,Cumaru,10906,292.23,37.3196638287388
167,Terra Nova,10096,318.70,31.6786946972074
168,Sairé,9932,190.46,52.1488015541729
169,Verdejante,9534,476.04,20.0277708339023
170,Brejão,8993,159.79,56.2815265417496
171,Camutanga,8551,39.12,218.606196952654
172,Tuparetama,8202,178.57,45.9315674525396
173,Ibirajuba,7762,189.60,40.9396822717779
174,Palmeirina,7693,168.80,45.5757245432356
175,Vertente do Lério,7618,73.63,103.461857098233
176,Brejinho,7487,106.28,70.4486431555572
177,Granito,7486,521.69,14.3495179129368
178,Terezinha,7169,151.45,47.335754374381
179,Quixaba,6813,210.71,32.3343062575639
180,Solidão,6007,138.40,43.4038064133875
181,Calumbi,5750,179.31,32.0666540258987
182,Itacuruba,4918,430.04,11.4361986615136
183,Ingazeira,4548,243.67,18.6646639498664
184,Fernando de Noronha,3061,18.61,164.490300392283
