Position,City,Population,Area,Density
115,Pugmil,2660,401.834,6.6196489097488
116,Mateiros,2638,9681.658,0.272473991541531
117,Tupiratins,2613,895.308,2.91854870055891
118,Fortaleza do Tabocão,2576,621.562,4.14439750177778
119,Abreulândia,2564,1895.212,1.35288294924262
120,Carmolândia,2556,339.405,7.53082600433111
121,Santa Terezinha do Tocantins,2528,269.677,9.37417725649573
122,Itaporã do Tocantins,2435,972.977,2.50262853078747
123,Santa Rita do Tocantins,2344,3274.948,0.715736555206373
124,Novo Alegre,2332,200.104,11.6539399512254
125,Cachoeirinha,2266,352.346,6.43117844391592
126,Monte Santo do Tocantins,2263,1091.553,2.07319296451936
127,Juarina,2202,481.048,4.57750577904908
128,Brasilândia do Tocantins,2191,641.467,3.41560828538335
129,Taipas do Tocantins,2131,1116.202,1.90915264441382
130,Rio da Conceição,2088,787.116,2.65272208924733
131,Ipueiras,1977,815.254,2.42501110083483
132,Sucupira,1946,1025.519,1.89757576407653
133,Lavandeira,1892,519.614,3.6411644028067
134,Tupirama,1860,712.206,2.61160394604932
135,Crixás do Tocantins,1708,986.693,1.73103488116364
136,São Félix do Tocantins,1572,1908.678,0.823606705793224
137,Chapada de Areia,1401,659.249,2.12514543063395
138,Oliveira de Fátima,1106,205.85,5.37284430410493
