,0,1,2,3,4,5,6,7,sol_value
0,10,18,15,11,14,6,4,9,-2265
1,9,14,18,17,13,4,5,12,-2219
2,3,2,14,4,12,17,9,7,-2376
3,9,18,14,12,4,13,5,17,-1923
4,9,18,14,12,13,4,7,0,-1369
5,10,18,15,11,14,6,9,4,-1892
6,9,18,14,11,17,4,7,10,-1277
7,9,18,15,12,14,6,4,10,-1576
8,9,18,14,12,17,4,7,10,-961
9,9,18,14,12,13,4,10,0,-1192
10,9,14,18,4,13,17,11,12,-1233
11,9,18,14,11,13,4,7,10,-1114
12,9,18,14,4,13,10,7,12,-798
